Threshold,Precision,Recall
1.2365844857638772e-05,0.034,1.0
1.2980042308645697e-05,0.03401700850425213,1.0
1.6394301658817913e-05,0.03403403403403404,1.0
2.040844677534021e-05,0.03405107661492238,1.0
2.232643357655581e-05,0.03406813627254509,1.0
2.408675236421332e-05,0.034085213032581455,1.0
2.6397548211731905e-05,0.034102306920762285,1.0
2.6572783184276247e-05,0.03411941796287005,1.0
2.7300445371227744e-05,0.03413654618473896,1.0
2.747159521739392e-05,0.03415369161225515,1.0
3.0300826214834234e-05,0.034170854271356785,1.0
3.159182239530246e-05,0.03418803418803419,1.0
3.2261305670456464e-05,0.03420523138832998,1.0
3.3345847566414344e-05,0.034222445898339206,1.0
3.65149352577423e-05,0.03423967774420947,1.0
3.915034784822692e-05,0.03425692695214106,1.0
4.076967342604842e-05,0.034274193548387094,1.0
4.1434174366694094e-05,0.03429147755925366,1.0
4.367176207184848e-05,0.034308779011099896,1.0
4.4919047683648616e-05,0.034326097930338216,1.0
4.511854461483835e-05,0.03434343434343434,1.0
4.619276691410396e-05,0.03436078827690753,1.0
4.7646785818824654e-05,0.034378159757330634,1.0
4.85551014626714e-05,0.0343955488113303,1.0
5.056271237188765e-05,0.03441295546558704,1.0
5.265027723200649e-05,0.034430379746835445,1.0
5.5725572657644e-05,0.034447821681864235,1.0
5.715040540365366e-05,0.03446528129751647,1.0
5.950355581636388e-05,0.034482758620689655,1.0
6.013884016317531e-05,0.03450025367833587,1.0
6.070179557881027e-05,0.03451776649746193,1.0
6.611284931456255e-05,0.03453529710512951,1.0
6.76760722935286e-05,0.034552845528455285,1.0
6.805548821998785e-05,0.03457041179461108,1.0
6.927293273049222e-05,0.03458799593082401,1.0
7.232228646149147e-05,0.03460559796437659,1.0
7.276583645314789e-05,0.034623217922606926,1.0
7.291679797156996e-05,0.034640855832908816,1.0
7.306833883464029e-05,0.034658511722731905,1.0
7.369331713153113e-05,0.03467618561958185,1.0
7.579057775234087e-05,0.03469387755102041,1.0
8.135385377761681e-05,0.03471158754466565,1.0
8.185738402752035e-05,0.03472931562819203,1.0
8.34761153541743e-05,0.03474706182933061,1.0
8.857080373438098e-05,0.034764826175869123,1.0
9.18295308566199e-05,0.034782608695652174,1.0
9.804843592502213e-05,0.03480040941658137,1.0
9.888173122507702e-05,0.03481822836661547,1.0
0.00010075531466407804,0.03483606557377049,1.0
0.00010188014307044704,0.03485392106611994,1.0
0.00010206219381178898,0.03487179487179487,1.0
0.00010373638397545459,0.034889687018984095,1.0
0.00010615543817196046,0.03490759753593429,1.0
0.00010639757231512604,0.03492552645095018,1.0
0.00011066552844421628,0.03494347379239465,1.0
0.00011160695249024053,0.03496143958868895,1.0
0.00011161155371000936,0.03497942386831276,1.0
0.00011172257296922867,0.034997426659804425,1.0
0.00011383702200632355,0.035015447991761074,1.0
0.00011662687233016899,0.03503348789283874,1.0
0.00011832146665692654,0.03505154639175258,1.0
0.0001186458145637601,0.035069623517276945,1.0
0.00011949662007992841,0.03508771929824561,1.0
0.00012313248761955216,0.035105833763551884,1.0
0.00012532563530825484,0.03512396694214876,1.0
0.00012714522937000138,0.0351421188630491,1.0
0.00013665818969805702,0.03516028955532575,1.0
0.00013675285208907545,0.03517847904811174,1.0
0.0001376567487417992,0.035196687370600416,1.0
0.0001427428549471324,0.03521491455204557,1.0
0.00014536611953636121,0.035233160621761656,1.0
0.00014846391001491763,0.0352514256091239,1.0
0.00015168620654865917,0.035269709543568464,1.0
0.00015178513212293587,0.03528801245459263,1.0
0.00015262243589746807,0.035306334371754934,1.0
0.000155107051415862,0.03532467532467533,1.0
0.00015515088862252358,0.035343035343035345,1.0
0.00015683916303380646,0.03536141445657826,1.0
0.0001666527887163731,0.03537981269510926,1.0
0.0001715997288083618,0.035398230088495575,1.0
0.00017863464705408812,0.035416666666666666,1.0
0.00018113009895232883,0.03543512245961438,1.0
0.00018259393693061178,0.035453597497393116,1.0
0.00018609622868638704,0.03547209181011998,1.0
0.00018806111467803077,0.03549060542797495,1.0
