precision,recall,threshold
0.034,1.0,1.535515074630604e-06
0.03401700850425213,1.0,1.597633601253084e-06
0.03403403403403404,1.0,1.6320655635877726e-06
0.03405107661492238,1.0,1.7424567023276168e-06
0.03406813627254509,1.0,1.7454936228818996e-06
0.034085213032581455,1.0,1.8824908517847834e-06
0.034102306920762285,1.0,1.9289755098969046e-06
0.03411941796287005,1.0,1.929340202474007e-06
0.03413654618473896,1.0,1.929929771253047e-06
0.03415369161225515,1.0,1.9316655459466147e-06
0.034170854271356785,1.0,2.01637299444136e-06
0.03418803418803419,1.0,2.0163878546292706e-06
0.03420523138832998,1.0,2.0173583540046518e-06
0.034222445898339206,1.0,2.056129880053164e-06
0.03423967774420947,1.0,2.0791873334343077e-06
0.03425692695214106,1.0,2.106467460890536e-06
0.034274193548387094,1.0,2.1687198410322753e-06
0.03429147755925366,1.0,2.189611436289889e-06
0.034308779011099896,1.0,2.2469656363846196e-06
0.034326097930338216,1.0,2.253232889838606e-06
0.03434343434343434,1.0,2.2783205363440184e-06
0.03436078827690753,1.0,2.3051737756292254e-06
0.034378159757330634,1.0,2.3842179662727405e-06
0.0343955488113303,1.0,2.3851567942968306e-06
0.03441295546558704,1.0,2.391358445783827e-06
0.034430379746835445,1.0,2.4212785645083085e-06
0.034447821681864235,1.0,2.4361761572042924e-06
0.03446528129751647,1.0,2.442386481290193e-06
0.034482758620689655,1.0,2.4541594309733473e-06
0.03450025367833587,1.0,2.455639792202369e-06
0.03451776649746193,1.0,2.466099804854682e-06
0.03453529710512951,1.0,2.4709926235711363e-06
0.034552845528455285,1.0,2.472314939297223e-06
0.03457041179461108,1.0,2.490024862268353e-06
0.03458799593082401,1.0,2.5061553317988843e-06
0.03460559796437659,1.0,2.5091370166270427e-06
0.034623217922606926,1.0,2.517207856809841e-06
0.034640855832908816,1.0,2.5269265339641593e-06
0.034658511722731905,1.0,2.6414844260519986e-06
0.03467618561958185,1.0,2.6416237013726066e-06
0.03469387755102041,1.0,2.646590976041844e-06
0.03471158754466565,1.0,2.702137916980307e-06
0.03472931562819203,1.0,2.7680451825049293e-06
0.03474706182933061,1.0,2.786130051960007e-06
0.034764826175869123,1.0,2.786561659519295e-06
0.034782608695652174,1.0,2.8122614119104093e-06
0.03480040941658137,1.0,2.8436186285045614e-06
0.03481822836661547,1.0,2.8838157275106493e-06
0.03483606557377049,1.0,2.898912222776917e-06
0.03485392106611994,1.0,2.91183806907699e-06
0.03487179487179487,1.0,2.9221638683095545e-06
0.034889687018984095,1.0,2.9558303430201126e-06
0.03490759753593429,1.0,3.016267849484408e-06
0.03492552645095018,1.0,3.0164990909295193e-06
0.03494347379239465,1.0,3.0192795739742513e-06
0.03496143958868895,1.0,3.0197598699038247e-06
0.03497942386831276,1.0,3.028410958458799e-06
0.034997426659804425,1.0,3.0311637573048713e-06
0.035015447991761074,1.0,3.0448838334676807e-06
0.03503348789283874,1.0,3.0939227190566526e-06
0.03505154639175258,1.0,3.1082256381970476e-06
0.035069623517276945,1.0,3.1168318633524585e-06
0.03508771929824561,1.0,3.1200698168557042e-06
0.035105833763551884,1.0,3.1238527874451135e-06
0.03512396694214876,1.0,3.135830745931476e-06
0.0351421188630491,1.0,3.171984495923195e-06
0.03516028955532575,1.0,3.175420427050558e-06
0.03517847904811174,1.0,3.201484225245871e-06
0.035196687370600416,1.0,3.2148765562915356e-06
0.03521491455204557,1.0,3.2259283163356225e-06
0.035233160621761656,1.0,3.2344072546273687e-06
0.0352514256091239,1.0,3.2513079315356554e-06
0.035269709543568464,1.0,3.252331085979829e-06
0.03528801245459263,1.0,3.2588988475124723e-06
0.035306334371754934,1.0,3.369804247852595e-06
0.03532467532467533,1.0,3.390906074144649e-06
0.035343035343035345,1.0,3.3980442681388617e-06
0.03536141445657826,1.0,3.3995977704910015e-06
0.03537981269510926,1.0,3.4182930776223957e-06
0.035398230088495575,1.0,3.4199871962943617e-06
0.035416666666666666,1.0,3.4304827897582425e-06
0.03543512245961438,1.0,3.4536602570622605e-06
0.035453597497393116,1.0,3.461234833379706e-06
0.03547209181011998,1.0,3.480496950788616e-06
0.03549060542797495,1.0,3.4918097033399015e-06
0.035509138381201046,1.0,3.503245409848209e-06
0.035527690700104496,1.0,3.5665310156063227e-06
0.03554626241505489,1.0,3.578267742852582e-06
0.03556485355648536,1.0,3.6139510710475792e-06
0.035583464154892726,1.0,3.616043528908999e-06
0.0356020942408377,1.0,3.6161494205276165e-06
0.035620743844945,1.0,3.625261484427972e-06
0.03563941299790356,1.0,3.627782226074224e-06
0.0356581017304667,1.0,3.675646752478968e-06
0.035676810073452254,1.0,3.6780550118424432e-06
0.03569553805774278,1.0,3.681836379669544e-06
0.03571428571428571,1.0,3.685765452608722e-06
0.03573305307409354,1.0,3.7020184455185427e-06
0.035751840168243953,1.0,3.749179290803296e-06
0.03577064702788006,1.0,3.7559612435239913e-06
0.035789473684210524,1.0,3.794137893507623e-06
0.03580832016850974,1.0,3.7989029591076143e-06
0.03582718651211802,1.0,3.8106724341515384e-06
0.03584607274644175,1.0,3.831077541772376e-06
0.035864978902953586,1.0,3.836970958590275e-06
0.035883905013192614,1.0,3.843672192838314e-06
0.03590285110876452,1.0,3.855960391573671e-06
0.03592181722134179,1.0,3.901539551828147e-06
0.035940803382663845,1.0,3.942840987865611e-06
0.035959809624537285,1.0,3.945427718426571e-06
0.03597883597883598,1.0,3.94720723189718e-06
0.035997882477501325,1.0,3.954986262349916e-06
0.036016949152542374,1.0,3.979903671186545e-06
0.036036036036036036,1.0,3.997335780850268e-06
0.036055143160127257,1.0,4.016877924229848e-06
0.03607427055702918,1.0,4.030043870233734e-06
0.036093418259023353,1.0,4.034276461425916e-06
0.036112586298459905,1.0,4.0583946361806e-06
0.036131774707757705,1.0,4.10163039874304e-06
