precision,recall,threshold
0.034,1.0,1.2328594090240376e-06
0.03401700850425213,1.0,1.5993815842344585e-06
0.03403403403403404,1.0,1.8973624919350992e-06
0.03405107661492238,1.0,2.0130839600740223e-06
0.03406813627254509,1.0,2.0615443736397174e-06
0.034085213032581455,1.0,2.089356750958425e-06
0.034102306920762285,1.0,2.112565679414066e-06
0.03411941796287005,1.0,2.113135750717336e-06
0.03413654618473896,1.0,2.115362586982333e-06
0.03415369161225515,1.0,2.152283583564133e-06
0.034170854271356785,1.0,2.2095158400543978e-06
0.03418803418803419,1.0,2.3548672570267953e-06
0.03420523138832998,1.0,2.4161300289916483e-06
0.034222445898339206,1.0,2.4285183838494677e-06
0.03423967774420947,1.0,2.457301387770335e-06
0.03425692695214106,1.0,2.46238172341759e-06
0.034274193548387094,1.0,2.51133768550671e-06
0.03429147755925366,1.0,2.5244963789005446e-06
0.034308779011099896,1.0,2.531759559550681e-06
0.034326097930338216,1.0,2.6085862516706863e-06
0.03434343434343434,1.0,2.6146299303350353e-06
0.03436078827690753,1.0,2.63510664494001e-06
0.034378159757330634,1.0,2.649586741773501e-06
0.0343955488113303,1.0,2.6953170693980435e-06
0.03441295546558704,1.0,2.71664701559751e-06
0.034430379746835445,1.0,2.7528415723846357e-06
0.034447821681864235,1.0,2.7687390983395505e-06
0.03446528129751647,1.0,2.8032293978930755e-06
0.034482758620689655,1.0,2.831843796161465e-06
0.03450025367833587,1.0,2.848789756070828e-06
0.03451776649746193,1.0,2.8737185119842015e-06
0.03453529710512951,1.0,2.8789114163944734e-06
0.034552845528455285,1.0,2.890875954750769e-06
0.03457041179461108,1.0,2.8923677603700437e-06
0.03458799593082401,1.0,2.9073337698782708e-06
0.03460559796437659,1.0,2.918679897235291e-06
0.034623217922606926,1.0,2.9278475937281636e-06
0.034640855832908816,1.0,2.9862329708473415e-06
0.034658511722731905,1.0,3.004443882242469e-06
0.03467618561958185,1.0,3.017638082738168e-06
0.03469387755102041,1.0,3.0306886522038346e-06
0.03471158754466565,1.0,3.0374974613104004e-06
0.03472931562819203,1.0,3.0612232064467215e-06
0.03474706182933061,1.0,3.0637098831508557e-06
0.034764826175869123,1.0,3.073867766103e-06
0.034782608695652174,1.0,3.1380895530510195e-06
0.03480040941658137,1.0,3.1449533691606475e-06
0.03481822836661547,1.0,3.1778134859962056e-06
0.03483606557377049,1.0,3.1971544889062394e-06
0.03485392106611994,1.0,3.221855482257413e-06
0.03487179487179487,1.0,3.3239921475302564e-06
0.034889687018984095,1.0,3.325936282826296e-06
0.03490759753593429,1.0,3.3461371015562345e-06
0.03492552645095018,1.0,3.349349944788877e-06
0.03494347379239465,1.0,3.384966680434588e-06
0.03496143958868895,1.0,3.3990167844705847e-06
0.03497942386831276,1.0,3.4568988406949794e-06
0.034997426659804425,1.0,3.4767083248212796e-06
0.035015447991761074,1.0,3.4790319617324496e-06
0.03503348789283874,1.0,3.483907289554362e-06
0.03505154639175258,1.0,3.497281466204164e-06
0.035069623517276945,1.0,3.500904302183856e-06
0.03508771929824561,1.0,3.526481869571876e-06
0.035105833763551884,1.0,3.556977642359702e-06
0.03512396694214876,1.0,3.5601131081164146e-06
0.0351421188630491,1.0,3.5804163240457944e-06
0.03516028955532575,1.0,3.6233147287602063e-06
0.03517847904811174,1.0,3.626557694932247e-06
0.035196687370600416,1.0,3.649051359216618e-06
0.03521491455204557,1.0,3.673088457129578e-06
0.035233160621761656,1.0,3.684770708561565e-06
0.0352514256091239,1.0,3.740600721534752e-06
0.035269709543568464,1.0,3.7421619298116594e-06
0.03528801245459263,1.0,3.747066506607854e-06
0.035306334371754934,1.0,3.7519765439047413e-06
0.03532467532467533,1.0,3.795282397124314e-06
0.035343035343035345,1.0,3.8015442523499114e-06
0.03536141445657826,1.0,3.8113798441046867e-06
0.03537981269510926,1.0,3.828613432738402e-06
0.035398230088495575,1.0,3.837803709001712e-06
0.035416666666666666,1.0,3.8494859543171925e-06
0.03543512245961438,1.0,3.85520562070556e-06
0.035453597497393116,1.0,3.864403426957484e-06
0.03547209181011998,1.0,3.864911054353495e-06
0.03549060542797495,1.0,3.8978487682233415e-06
0.035509138381201046,1.0,3.982193311081954e-06
0.035527690700104496,1.0,3.992791129372078e-06
0.03554626241505489,1.0,3.992940375020077e-06
0.03556485355648536,1.0,3.997549260684781e-06
0.035583464154892726,1.0,4.00285782613272e-06
0.0356020942408377,1.0,4.033836546054364e-06
0.035620743844945,1.0,4.035172351256165e-06
0.03563941299790356,1.0,4.045546708383112e-06
0.0356581017304667,1.0,4.055453759589685e-06
0.035676810073452254,1.0,4.076007244426431e-06
0.03569553805774278,1.0,4.107858494175013e-06
0.03571428571428571,1.0,4.119045283710529e-06
0.03573305307409354,1.0,4.126016335410952e-06
0.035751840168243953,1.0,4.143334806890142e-06
0.03577064702788006,1.0,4.161221618404928e-06
0.035789473684210524,1.0,4.21689358539922e-06
0.03580832016850974,1.0,4.2287057598820324e-06
0.03582718651211802,1.0,4.281999179534413e-06
0.03584607274644175,1.0,4.2973115284388425e-06
0.035864978902953586,1.0,4.301074772400986e-06
0.035883905013192614,1.0,4.306046883593024e-06
0.03590285110876452,1.0,4.311079559805049e-06
0.03592181722134179,1.0,4.347531770101399e-06
0.035940803382663845,1.0,4.355270679091816e-06
0.035959809624537285,1.0,4.371318392456401e-06
0.03597883597883598,1.0,4.397745920441543e-06
0.035997882477501325,1.0,4.400339162307161e-06
0.036016949152542374,1.0,4.423714849130261e-06
0.036036036036036036,1.0,4.436345712384167e-06
0.036055143160127257,1.0,4.45733546214833e-06
0.03607427055702918,1.0,4.488076499354372e-06
0.036093418259023353,1.0,4.50904253608031e-06
0.036112586298459905,1.0,4.554670501313848e-06
0.036131774707757705,1.0,4.556552426557304e-06
0.03615098351940457,1.0,4.594181793978647e-06
0.036170212765957444,1.0,4.597309774163454e-06
0.036189462480042574,1.0,4.606505210580536e-06
0.0362087326943557,1.0,4.60679987837899e-06
0.036228023441662226,1.0,4.608390917911356e-06
0.03624733475479744,1.0,4.610277070467991e-06
0.03626666666666667,1.0,4.618559376483861e-06
0.03628601921024546,1.0,4.6388747001980895e-06
0.036305392418579815,1.0,4.641637085608774e-06
0.03632478632478633,1.0,4.6708702405861604e-06
