dataset,accuracy,precision,recall,f1_score,roc_auc,f1_drop
Original (0% noise),0.9865,0.8912557772764111,0.9078827183047131,0.8993811943452231,0.9730087687248812,0.0
Noisy (5% noise),0.984,0.8713692946058091,0.8924004384362441,0.8815692079940785,0.971105833637803,-0.01781198635114467
Noisy (10% noise),0.9775,0.8168188163845624,0.8748477651930338,0.8431506503148315,0.9716691024235782,-0.05623054403039163
Noisy (15% noise),0.9785,0.8267486543617588,0.8682712215320911,0.846146965427792,0.9717832785288029,-0.053234228917431126
Noisy (20% noise),0.9775,0.8199951374678364,0.8606594811837779,0.8389910103314102,0.9699640725855561,-0.06039018401381291
